昵称,地区,性别,评论
白少爷很帅吧,湖南,女,老婆厉害了  这么重的都能驾驭[相爱]
吞一口阿梨,浙江,女,老婆！帅哭了！#刘亦菲练射击好帅#
Rosa_hybrida_Turtur,北京,女,帅老公[哇][舔屏]
银河系MjoFanX_0420,福建,女,啊啊啊啊姐姐好酷我好爱[心]
燕斋沙啦啦_icc,广东,女,啊啊啊啊好酷！好酷的刘亦菲！[哇][哇][哇]
迷鹭爱吃虾的橙子,广东,女,斯哈斯哈斯哈[舔屏][舔屏][舔屏][舔屏] http://t.cn/A6ncpmPt
是兰因璧月不是兰因絮果,浙江,男,你是玩玩的还是提前做功课啊啊啊啊啊
迷鹭爱吃虾的橙子,广东,女,老公的腰不是腰是夺命的弯刀[污][污][污]@刘亦菲 http://t.cn/A6nc0778
亦朵黄玫瑰icc,北京,女,☪︎ ɢᵒᵒᵈ ɴⁱᵍʰᵗ ✩⡱月亮会越来越圆，好事也会越来越近 🌕
猫猫S不吃鱼,江苏,女,姐，玩得开心呀[老师爱你]
-阿白7,广东,男,刘亦菲姐姐爱你😘😘😘
Effervescent_Vivacious,马来西亚,女,英姿飒爽@刘亦菲
白少爷很帅吧,北京,女,击中的不是靶位，是我的心[泪]
-2choose1_,山东,女,姐姐啊啊啊啊[可怜][可怜][可怜]好想你
最喜欢刘亦菲啦,安徽,女,老婆你真酷[哇][哇][哇][哇]
是兰因璧月不是兰因絮果,浙江,男,早上又被帅到了
菲常迪气的欧蜜麻麻,广东,女,姐姐好帅！！！击中我的心！[舔屏][舔屏][舔屏][舔屏][舔屏]#刘亦菲[超话]# #刘亦菲# 
抬头才能看得清,内蒙古,女,神枪手宝宝！又美又酷，天天开心
七彩萝卜头-,江苏,女,[打call][打call][打call][打call][打call][打call]姐姐好帅
wwwwink茜,山东,女,老婆老婆老婆老婆[女孩儿]
米饭爱柿子h,广东,女,姐姐好瘦[泪]
太饱吃不下了,湖南,女,姐姐好酷[心]
yujia_cc-想和张予曦恋爱版,云南,女,老公帅爆了啊啊啊啊[哇]
懷念在深篍,安徽,女,老婆！[好喜欢]
诚实的凤梨丽,广东,女,好帅
亦朵黄玫瑰icc,北京,女,相对于别人，我更喜欢你。这就是相对论。 ​​​
灯灯灯灯TZ,江苏,女,有如摇摆的磁针是对准北极，我的心也只是朝向你@刘亦菲
胖大头zz,浙江,女,你有时候是不是特孤独？世界上这么优秀的人就只有你一个！@刘亦菲
胖大头zz,浙江,女,早上好[送花花]
十买米羔白勺,广东,男,@刘亦菲 “喜欢玫瑰的刺儿，喜欢角色的’无穷大‘。当你用什么样的眼光去看剧本，这个剧本就会给你什么。对我来说，每一个角色都是这样 ”
